-BEGIN HEADER-,,,,,,,,,,,Date,T2M,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,01-08-2017,29.59,,Row Labels,Average of T2M
Dates (month/day/year): 08/01/2017 through 08/01/2023 ,,,,,,,,,,,02-08-2017,28.98,,2017,25.98437908
Location: Latitude  10.2122   Longitude 77.9835 ,,,,,,,,,,,03-08-2017,29.33,,2018,27.32868493
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.52 meters,,,,,,,,,,,04-08-2017,29.26,,2019,28.13706849
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,05-08-2017,28.85,,2020,27.47398907
Parameter(s): ,,,,,,,,,,,06-08-2017,29.56,,2021,26.58805479
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,07-08-2017,28.67,,2022,26.63553425
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,08-08-2017,27.89,,Grand Total,27.13628095
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,09-08-2017,28.06,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,10-08-2017,28.06,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,11-08-2017,27.6,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,12-08-2017,28.6,,,
-END HEADER-,,,,,,,,,,,13-08-2017,26.21,,,
YEAR,MO,DY,RH2M,PRECTOTCORR,QV2M,T2M,TS,T2M_RANGE,,,14-08-2017,25.57,,,
2018,2,12,69.25,0.02,14.22,26.08,27.1,10.66,,,26-02-2018,27.75,,,
2018,2,13,70.88,0,13.31,24.51,25.05,9.09,,,27-02-2018,27.73,,,
2018,2,14,67.25,0,13.18,25.9,27.23,14.71,,,28-02-2018,28.39,,,
2018,2,15,67.81,0,13.67,25.95,27,11.85,,,01-03-2018,28.09,,,
2018,2,16,60.62,0,11.96,26.3,27.51,13.59,,,02-03-2018,27.73,,,
2018,2,17,60.31,0,11.47,25.51,26.8,14.58,,,03-03-2018,27.56,,,
2018,2,18,59.56,0,11.54,26.14,27.6,15.48,,,04-03-2018,28.19,,,
2018,2,19,61.19,0,11.23,25.37,26.86,16.55,,,05-03-2018,27.62,,,
2018,2,20,62.75,0,11.78,25.64,27.12,16.52,,,06-03-2018,27.79,,,
2018,2,21,59.44,0,11.29,25.83,27.44,15.9,,,07-03-2018,27.73,,,
2018,2,22,55.69,0,10.13,25.63,26.98,17.66,,,08-03-2018,28.4,,,
2018,2,23,59.69,0,10.99,25.56,27.18,16.88,,,09-03-2018,28.15,,,
2018,2,24,63.88,0,12.82,26.53,28.4,15.74,,,10-03-2018,28.46,,,
2018,2,25,62.81,0,13.24,27.22,29.02,15.71,,,11-03-2018,28.65,,,
2018,2,26,61,0,13.37,27.75,29.58,15.26,,,12-03-2018,28.27,,,
2018,2,27,63,0,14.1,27.73,29.29,12.28,,,13-03-2018,27.15,,,
2018,2,28,60.81,0.16,13.67,28.39,30.34,14.84,,,14-03-2018,28.05,,,
2018,3,1,64.88,1.6,14.71,28.09,29.92,12.77,,,15-03-2018,27.99,,,
2018,3,2,55.44,0,11.41,27.73,29.47,17.19,,,16-03-2018,29.32,,,
2018,3,3,55.25,0,11.11,27.56,29.65,18.53,,,17-03-2018,26.91,,,
2018,3,4,48.06,0.01,9.83,28.19,29.95,17.55,,,18-03-2018,28.43,,,
2018,3,5,50.5,0,9.89,27.62,29.52,18.84,,,19-03-2018,28.64,,,
2018,3,6,48.81,0,9.58,27.79,29.69,18.65,,,20-03-2018,28.48,,,
2018,3,7,55.31,0,11.41,27.73,29.9,18.91,,,21-03-2018,29.95,,,
2018,3,8,56.19,0,12.15,28.4,30.47,16.79,,,22-03-2018,31.18,,,
2018,3,9,54.19,0,11.6,28.15,29.72,17.09,,,23-03-2018,31.58,,,
2018,3,10,51.19,0,11.29,28.46,30.13,17.56,,,24-03-2018,30.58,,,
2018,3,11,56.94,0,12.82,28.65,30.61,15.66,,,25-03-2018,29.5,,,
2018,3,12,63.62,0.8,14.77,28.27,30.15,12.6,,,26-03-2018,29.33,,,
2018,3,13,72.12,4.09,16.11,27.15,28.3,8.3,,,27-03-2018,29.54,,,
2018,3,14,64.81,1.06,14.77,28.05,29.24,10.89,,,28-03-2018,31.35,,,
2018,3,15,67.44,0.7,15.87,27.99,29.24,8.54,,,29-03-2018,32.04,,,
2018,3,16,61.88,0.19,15.32,29.32,31.11,11.5,,,30-03-2018,30.41,,,
2018,3,17,73.75,0.68,16.48,26.91,27.83,7.79,,,31-03-2018,31.23,,,
2018,3,18,65.81,3.57,15.38,28.43,30.21,12.93,,,01-04-2018,31.38,,,
2018,3,19,59.25,0.54,13.55,28.64,30.55,13.56,,,02-04-2018,30.62,,,
2018,3,20,53.38,0,11.72,28.48,30.17,16.05,,,03-04-2018,30.82,,,
2018,3,21,46.19,0.11,10.93,29.95,32.1,16.34,,,04-04-2018,30.44,,,
2018,3,22,48,0.09,12.63,31.18,33.45,16.14,,,05-04-2018,30.2,,,
2018,3,23,47.88,1.94,13.12,31.58,33.38,13.73,,,06-04-2018,30.12,,,
2018,3,24,54.94,0.82,14.22,30.58,32.37,13.08,,,07-04-2018,30.65,,,
2018,3,25,55.38,0,13.24,29.5,31.48,14.83,,,08-04-2018,29.99,,,
2018,3,26,52.62,0.01,11.9,29.33,31.39,17.02,,,09-04-2018,29.28,,,
2018,3,27,59.5,0.05,15.08,29.54,31.62,12.24,,,10-04-2018,28.72,,,
2018,3,28,56.25,0.01,15.08,31.35,34.16,13.48,,,11-04-2018,28.2,,,
2018,3,29,50.88,0.02,14.04,32.04,34.51,14.66,,,12-04-2018,29.02,,,
2018,3,30,58.75,0.45,15.5,30.41,32,10.05,,,13-04-2018,28.94,,,
2018,3,31,56.81,1.42,15.32,31.23,33.38,14.01,,,14-04-2018,28.38,,,
2018,4,1,53.88,0.92,14.53,31.38,33.55,13.2,,,15-04-2018,27.44,,,
2018,4,2,59.19,0.15,15.32,30.62,33.02,13.37,,,16-04-2018,29.01,,,
2018,4,3,55.88,0.17,14.59,30.82,33.19,13.06,,,17-04-2018,29.52,,,
2018,4,4,55.56,0,14.4,30.44,32.69,13.29,,,18-04-2018,29.67,,,
2018,4,5,56.12,0,14.53,30.2,32.47,12.23,,,19-04-2018,30.4,,,
2018,4,6,53.5,0,13.37,30.12,32.18,12.45,,,20-04-2018,31.23,,,
2018,4,7,56.81,0.03,14.65,30.65,33.27,14.4,,,21-04-2018,30.52,,,
2018,4,8,60.62,0.37,15.62,29.99,32.03,11.52,,,22-04-2018,30.93,,,
2018,4,9,64.38,1.56,16.05,29.28,30.96,9.55,,,23-04-2018,30.9,,,
2018,4,10,70.25,5.47,17.03,28.72,30.52,10.23,,,24-04-2018,31.57,,,
2018,4,11,73.94,3.09,17.64,28.2,29.25,7.8,,,25-04-2018,32.06,,,
2018,4,12,68.88,1.01,16.91,29.02,30.4,10.55,,,26-04-2018,31.33,,,
2018,4,13,69.69,4.36,16.97,28.94,30.37,10.64,,,27-04-2018,30.33,,,
2018,4,14,73.88,7.89,17.7,28.38,29.76,9.05,,,28-04-2018,29.38,,,
2018,4,15,78.5,5.26,18.01,27.44,27.94,7.01,,,29-04-2018,31.58,,,
2018,4,16,69.81,1.42,17.15,29.01,30.41,11.48,,,30-04-2018,31.75,,,
2018,4,17,66.25,0.11,16.72,29.52,30.87,10.65,,,01-05-2018,30.73,,,
2018,4,18,63.44,0.11,16.05,29.67,31.26,12.02,,,02-05-2018,30.51,,,
2018,4,19,60.44,0.02,15.69,30.4,32.46,13.77,,,03-05-2018,29.7,,,
2018,4,20,57.69,0.52,15.5,31.23,33.46,14.2,,,04-05-2018,28.38,,,
2018,4,21,61.75,0.27,16.24,30.52,32.44,12,,,05-05-2018,28.69,,,
2018,4,22,60.75,0.4,15.99,30.93,33.16,13.91,,,06-05-2018,28.95,,,
2018,4,23,58.81,0.02,15.69,30.9,32.71,12.13,,,07-05-2018,29.83,,,
2018,4,24,57.69,0.06,15.38,31.57,34.12,14.89,,,08-05-2018,29.11,,,
2018,4,25,56.44,0.43,15.75,32.06,34.62,14.5,,,09-05-2018,26.72,,,
2018,4,26,60,1.26,16.6,31.33,33.43,12.01,,,10-05-2018,27.15,,,
2018,4,27,65.69,2.08,17.52,30.33,31.71,8.95,,,11-05-2018,28.9,,,
2018,4,28,68.25,0.04,17.46,29.38,30.74,7.82,,,12-05-2018,29.33,,,
2018,4,29,57.75,0.02,15.99,31.58,34.2,14.22,,,13-05-2018,29.64,,,
2018,4,30,58.06,3.32,16.6,31.75,33.41,11.69,,,14-05-2018,28.32,,,
2018,5,1,64.38,1.82,17.58,30.73,31.63,9.62,,,15-05-2018,28.76,,,
2018,5,2,66.12,5.31,18.01,30.51,31.18,8.88,,,16-05-2018,27.83,,,
2018,5,3,71.94,3.34,18.74,29.7,30.19,7.95,,,17-05-2018,28.05,,,
2018,5,4,76.75,7.76,18.37,28.38,29.08,8.1,,,18-05-2018,28.76,,,
2018,5,5,68.81,5.99,16.42,28.69,29.62,10.04,,,19-05-2018,30.22,,,
2018,5,6,69,2.9,16.85,28.95,30.24,11.01,,,20-05-2018,29.94,,,
2018,5,7,66.31,0.67,16.97,29.83,31.53,11.96,,,21-05-2018,29.48,,,
2018,5,8,70.94,6.06,17.82,29.11,30.15,8.25,,,22-05-2018,30.1,,,
2018,5,9,80.06,34.27,17.64,26.72,27.12,7.21,,,23-05-2018,29.41,,,
2018,5,10,79.06,9.76,17.76,27.15,28.08,8.33,,,24-05-2018,28.45,,,
2018,5,11,71,0.87,17.4,28.9,29.9,9.98,,,25-05-2018,27.44,,,
2018,5,12,70.75,3.22,17.94,29.33,30.48,9.62,,,26-05-2018,26.36,,,
2018,5,13,66.81,3.19,17.09,29.64,30.81,10.03,,,27-05-2018,27.85,,,
2018,5,14,73.75,3.93,17.7,28.32,28.87,8.01,,,28-05-2018,27.74,,,
2018,5,15,70.25,2.74,17.09,28.76,29.6,9.23,,,29-05-2018,29.42,,,
2018,5,16,73.56,1.25,17.15,27.83,28.51,7.11,,,30-05-2018,29.47,,,
2018,5,17,71.5,0.34,16.97,28.05,28.85,8.14,,,31-05-2018,29.55,,,
2018,5,18,69.62,2.67,16.97,28.76,29.87,10.45,,,01-06-2018,29.21,,,
2018,5,19,63.81,0.33,16.48,30.22,31.73,14.18,,,02-06-2018,28.29,,,
2018,5,20,66.5,0.54,17.4,29.94,30.83,9.96,,,03-06-2018,28.06,,,
2018,5,21,66.44,0.28,17.03,29.48,30.36,8.3,,,04-06-2018,28.15,,,
2018,5,22,62.56,3.05,16.48,30.1,31.2,10.96,,,05-06-2018,28.79,,,
2018,5,23,70.75,2.51,18.19,29.41,30.18,8.07,,,06-06-2018,29.16,,,
2018,5,24,75.25,6.33,18.43,28.45,28.44,6.25,,,07-06-2018,28.94,,,
2018,5,25,77.94,13.08,18.01,27.44,28.06,6.83,,,08-06-2018,29.43,,,
2018,5,26,85.88,2.43,18.86,26.36,26.59,5.02,,,09-06-2018,28.84,,,
2018,5,27,76.81,1.44,18.01,27.85,28.52,8.44,,,10-06-2018,28.85,,,
2018,5,28,80.06,6.81,18.98,27.74,28,6.37,,,11-06-2018,29.29,,,
2018,5,29,68.75,0.88,17.7,29.42,29.91,8.7,,,12-06-2018,29.16,,,
2018,5,30,67.69,0.08,17.33,29.47,30.12,10.38,,,13-06-2018,28.92,,,
2018,5,31,67.44,0.14,17.46,29.55,30.34,8.62,,,14-06-2018,28.48,,,
2018,6,1,70,0.1,17.82,29.21,29.7,8.45,,,15-06-2018,28.79,,,
2018,6,2,75.62,0.56,18.37,28.29,28.78,5.47,,,16-06-2018,28.58,,,
2018,6,3,77.44,1.22,18.49,28.06,28.43,7.66,,,17-06-2018,27.78,,,
2018,6,4,76.69,4.8,18.49,28.15,28.3,6.67,,,18-06-2018,28.75,,,
2018,6,5,70,1.29,17.15,28.79,29.25,9.93,,,19-06-2018,28.87,,,
2018,6,6,64.44,0.4,15.81,29.16,29.61,11.18,,,20-06-2018,28.04,,,
2018,6,7,67.06,0.79,16.42,28.94,29.5,10.95,,,21-06-2018,27.71,,,
2018,6,8,66.62,0.82,16.91,29.43,29.87,9.92,,,22-06-2018,28.67,,,
2018,6,9,66.75,1.47,16.6,28.84,28.9,8.5,,,23-06-2018,29.4,,,
2018,6,10,68.56,0.89,17.09,28.85,28.83,7.66,,,24-06-2018,29.44,,,
2018,6,11,66.38,1.65,16.78,29.29,29.65,9.37,,,25-06-2018,27.96,,,
2018,6,12,67.56,0.85,16.85,29.16,29.7,10.52,,,26-06-2018,28.37,,,
2018,6,13,63.56,1.49,15.44,28.92,29.59,11.58,,,27-06-2018,27.64,,,
2018,6,14,61.75,0.38,14.71,28.48,29.08,10.22,,,28-06-2018,27.42,,,
2018,6,15,58.81,0.3,14.04,28.79,29.51,13.42,,,29-06-2018,28.23,,,
2018,6,16,62.12,8.73,14.65,28.58,29.2,12.06,,,30-06-2018,27.9,,,
2018,6,17,64.5,0.34,14.59,27.78,28.41,11.65,,,01-07-2018,28.5,,,
2018,6,18,57.69,0.35,13.31,28.75,29.47,13.66,,,02-07-2018,27.95,,,
2018,6,19,66.5,0.5,15.99,28.87,29.86,12.77,,,03-07-2018,27.85,,,
2018,6,20,70.25,0.98,16.48,28.04,28.62,9.16,,,04-07-2018,28.98,,,
2018,6,21,70.19,0.49,16.24,27.71,28.13,7.78,,,05-07-2018,28.98,,,
2018,6,22,61.12,0.45,14.53,28.67,29.8,12.77,,,06-07-2018,29.08,,,
2018,6,23,59.5,0.08,14.65,29.4,30.91,14.23,,,07-07-2018,27.92,,,
2018,6,24,60.25,0.08,14.95,29.44,30.62,11.95,,,08-07-2018,27.8,,,
2018,6,25,60.62,0.19,13.98,27.96,28.75,10.18,,,09-07-2018,27.45,,,
2018,6,26,59,0.28,13.98,28.37,29.16,11.64,,,10-07-2018,27.4,,,
2018,6,27,62.12,0.53,14.34,27.64,27.88,8.43,,,11-07-2018,27.51,,,
2018,6,28,61.44,0.53,13.85,27.42,28.17,8.8,,,12-07-2018,27.45,,,
2018,6,29,60.62,0.9,14.1,28.23,29.22,11.79,,,13-07-2018,28.29,,,
2018,6,30,63.31,11.41,14.71,27.9,28.23,9.75,,,14-07-2018,28.14,,,
2018,7,1,65.19,11.57,15.5,28.5,29.12,10.99,,,15-07-2018,27.48,,,
2018,7,2,68.06,8.91,15.69,27.95,28.47,11.55,,,16-07-2018,27.55,,,
2018,7,3,68.75,6.9,15.81,27.85,28.25,10.09,,,17-07-2018,28.36,,,
2018,7,4,64.06,0.01,15.5,28.98,29.89,12.73,,,18-07-2018,28.04,,,
2018,7,5,61.56,0.1,14.71,28.98,29.95,14.23,,,19-07-2018,28.75,,,
2018,7,6,59.81,0.38,14.34,29.08,30.2,14.89,,,20-07-2018,28.3,,,
2018,7,7,59.25,0.23,13.85,27.92,28.36,8.03,,,21-07-2018,27.95,,,
2018,7,8,63.62,0.41,14.89,27.8,27.97,8,,,22-07-2018,28.73,,,
2018,7,9,73.19,2.61,16.85,27.45,27.58,6.96,,,23-07-2018,29.41,,,
2018,7,10,71.62,3.02,16.3,27.4,27.71,7.94,,,24-07-2018,29.1,,,
2018,7,11,66.94,1.76,15.26,27.51,27.85,9.12,,,25-07-2018,29.53,,,
2018,7,12,62.31,0.6,14.1,27.45,27.82,9.93,,,26-07-2018,28.51,,,
2018,7,13,64.12,1.11,15.2,28.29,28.69,10.17,,,27-07-2018,29.41,,,
2018,7,14,66.62,0.56,15.87,28.14,28.36,7.88,,,28-07-2018,29.58,,,
2018,7,15,70.12,4.25,16.17,27.48,27.48,7.17,,,29-07-2018,29.14,,,
2018,7,16,66.12,3.58,15.14,27.55,28.08,9.67,,,30-07-2018,28.05,,,
2018,7,17,59.06,0.62,14.1,28.36,29.1,11.19,,,31-07-2018,28.45,,,
2018,7,18,62.94,1.26,14.83,28.04,28.47,7.64,,,01-08-2018,28.74,,,
2018,7,19,62.94,0.66,15.32,28.75,29.46,11.13,,,02-08-2018,29.4,,,
2018,7,20,62.12,0.15,14.83,28.3,28.79,9.1,,,03-08-2018,26.98,,,
2018,7,21,61.31,0.32,14.47,27.95,28.27,7.98,,,04-08-2018,27.76,,,
2018,7,22,60.38,0.11,14.71,28.73,29.5,10.86,,,05-08-2018,28.29,,,
2018,7,23,60.38,0.26,15.08,29.41,30.6,12.22,,,06-08-2018,28.06,,,
2018,7,24,61.56,1.08,15.2,29.1,30.26,12.79,,,07-08-2018,27.83,,,
2018,7,25,61.62,1.35,15.62,29.53,30.94,12.19,,,08-08-2018,27.41,,,
2018,7,26,62.31,0.25,15.08,28.51,29.06,8.68,,,09-08-2018,28.25,,,
2018,7,27,59.69,0.05,14.83,29.41,30.75,13.31,,,10-08-2018,28.24,,,
2018,7,28,60.5,0.41,15.2,29.58,31.1,13.05,,,11-08-2018,28.64,,,
2018,7,29,64.06,0.26,15.99,29.14,30.37,10.39,,,12-08-2018,27.56,,,
2018,7,30,70.19,0.62,16.72,28.05,28.45,7.51,,,13-08-2018,27.73,,,
2018,7,31,66,2.22,15.87,28.45,29.01,9.3,,,14-08-2018,28.01,,,
2018,8,1,63.38,0.24,15.14,28.74,29.95,12.7,,,15-08-2018,27.94,,,
2018,8,2,62,7.5,15.26,29.4,30.83,14.77,,,16-08-2018,27.43,,,
2018,8,3,70.31,9.87,15.62,26.98,26.77,7.52,,,17-08-2018,28.69,,,
2018,8,4,61.56,3.02,14.04,27.76,28.33,12.93,,,18-08-2018,27.59,,,
2018,8,5,61.62,0.16,14.34,28.29,28.91,11.95,,,19-08-2018,27.89,,,
2018,8,6,63.44,0.2,14.71,28.06,28.92,11.75,,,20-08-2018,28.33,,,
2018,8,7,62.44,0.76,14.16,27.83,28.81,13.74,,,21-08-2018,28.81,,,
2018,8,8,62.69,3.15,14.16,27.41,28.06,10.05,,,22-08-2018,28.75,,,
2018,8,9,60.69,0.9,13.98,28.25,29.21,12.22,,,23-08-2018,29.05,,,
2018,8,10,61.69,1.65,14.47,28.24,28.8,10.31,,,24-08-2018,28.98,,,
2018,8,11,56.56,0.1,13.43,28.64,29.38,11.39,,,25-08-2018,29.46,,,
2018,8,12,62.69,0.89,14.47,27.56,28.02,9.2,,,26-08-2018,28.44,,,
2018,8,13,61.81,1.17,14.16,27.73,28.3,10.29,,,27-08-2018,27.87,,,
2018,8,14,60.44,2.69,14.22,28.01,28.62,10.14,,,28-08-2018,28.55,,,
2018,8,15,64.94,11.63,15.32,27.94,28.13,8.23,,,29-08-2018,28.24,,,
2018,8,16,65.44,5.33,15.08,27.43,27.46,7.41,,,30-08-2018,28.55,,,
2018,8,17,62.69,1.15,15.32,28.69,29.3,10.14,,,31-08-2018,27.41,,,
2018,8,18,62.75,0.37,14.47,27.59,28.01,8.26,,,01-09-2018,27.72,,,
2018,8,19,63.12,0.2,14.77,27.89,28.42,9.62,,,02-09-2018,27.83,,,
2018,8,20,61.31,0.1,14.53,28.33,29.17,10.67,,,03-09-2018,29.51,,,
2018,8,21,59.25,0.06,14.04,28.81,30.29,14.7,,,04-09-2018,30.05,,,
2018,8,22,59.38,0.01,14.16,28.75,30.04,13.6,,,05-09-2018,29.35,,,
2018,8,23,61.06,0.4,15.14,29.05,30.06,11.16,,,06-09-2018,29.35,,,
2018,8,24,64.31,5.41,15.87,28.98,29.83,10.28,,,07-09-2018,28.71,,,
2018,8,25,63.81,1.17,15.99,29.46,30.65,11.62,,,08-09-2018,29.66,,,
2018,8,26,64.5,4.04,15.38,28.44,29.33,11.56,,,09-09-2018,30.36,,,
2018,8,27,67,5.26,15.44,27.87,28.65,12.19,,,10-09-2018,28.92,,,
2018,8,28,62.44,0.82,14.77,28.55,29.62,13.89,,,11-09-2018,29.68,,,
2018,8,29,62.25,0.64,14.65,28.24,28.91,11.59,,,12-09-2018,30.4,,,
2018,8,30,66.25,9.86,15.87,28.55,29.18,11.5,,,13-09-2018,30.63,,,
2018,8,31,71.25,8.07,16.17,27.41,27.67,9.05,,,14-09-2018,29.51,,,
2018,9,1,70.69,9.73,16.11,27.72,28.69,11.33,,,15-09-2018,27.68,,,
2018,9,2,68.56,0.77,15.81,27.83,28.26,10.23,,,16-09-2018,26.36,,,
2018,9,3,59.31,0.05,14.65,29.51,30.77,12.66,,,17-09-2018,27.94,,,
2018,9,4,59.31,0.03,15.2,30.05,31.79,12.96,,,18-09-2018,28.63,,,
2018,9,5,57.31,0,13.79,29.35,31.11,14.86,,,19-09-2018,28.46,,,
2018,9,6,58.31,0,13.92,29.35,31.08,15.52,,,20-09-2018,28.75,,,
2018,9,7,56.19,0,12.88,28.71,30.11,15.76,,,21-09-2018,28.79,,,
2018,9,8,56.94,0,13.92,29.66,31.51,15.95,,,22-09-2018,28.72,,,
2018,9,9,57,0.65,14.77,30.36,32.47,13.71,,,23-09-2018,29.03,,,
2018,9,10,65.94,8.23,16.11,28.92,30.26,10.06,,,24-09-2018,27.82,,,
2018,9,11,63.31,0.46,15.87,29.68,31.37,12.89,,,25-09-2018,28.19,,,
2018,9,12,59.56,0,15.5,30.4,32.72,13.72,,,26-09-2018,27.98,,,
2018,9,13,60.62,0.89,16.24,30.63,33.09,12.17,,,27-09-2018,28.21,,,
2018,9,14,67.25,5.05,17.03,29.51,31.18,10.17,,,28-09-2018,26.94,,,
2018,9,15,67.06,2.39,15.32,27.68,28.07,8.26,,,29-09-2018,27.12,,,
2018,9,16,66.56,2.85,14.22,26.36,26.33,9.2,,,30-09-2018,27.55,,,
2018,9,17,66.75,0.25,15.38,27.94,28.52,10.59,,,01-10-2018,27.32,,,
2018,9,18,61.06,0.06,14.4,28.63,29.71,12.76,,,02-10-2018,26.92,,,
2018,9,19,64.94,3.26,15.26,28.46,29.55,13.51,,,03-10-2018,26.4,,,
2018,9,20,60.62,0.66,14.1,28.75,30.15,15.19,,,04-10-2018,25.47,,,
2018,9,21,56.69,0.12,12.63,28.79,30.3,16.95,,,05-10-2018,25.76,,,
2018,9,22,62.5,0.23,14.77,28.72,30.66,13.84,,,06-10-2018,25.99,,,
2018,9,23,68.56,4.88,17.03,29.03,30.35,9.68,,,07-10-2018,26.37,,,
2018,9,24,76.06,8.73,17.88,27.82,28.07,6.15,,,08-10-2018,26.29,,,
2018,9,25,72.06,4.79,17.09,28.19,29.33,9.2,,,09-10-2018,25.9,,,
2018,9,26,71,1.39,16.6,27.98,28.89,9.05,,,10-10-2018,27.08,,,
2018,9,27,72,15.26,16.78,28.21,29.73,11.48,,,11-10-2018,28.01,,,
2018,9,28,81.19,18.15,18.07,26.94,27.95,7.59,,,12-10-2018,27.58,,,
2018,9,29,79.06,11.16,17.76,27.12,28.08,8.33,,,13-10-2018,27.2,,,
2018,9,30,76.19,4.89,17.46,27.55,28.62,9.43,,,14-10-2018,26.84,,,
2018,10,1,79,7.03,17.94,27.32,28.3,8.49,,,15-10-2018,26.58,,,
2018,10,2,80.69,9.37,17.94,26.92,27.62,7.56,,,16-10-2018,25.75,,,
2018,10,3,82,6.19,17.82,26.4,26.93,6.37,,,17-10-2018,25.87,,,
2018,10,4,85,12.77,17.52,25.47,25.83,5.41,,,18-10-2018,26.17,,,
2018,10,5,87.19,10.9,18.31,25.76,26.06,6.41,,,19-10-2018,26.21,,,
2018,10,6,86.44,13.32,18.37,25.99,26.27,5.62,,,20-10-2018,26.12,,,
2018,10,7,82.75,8.76,17.88,26.37,27,7.19,,,21-10-2018,26.21,,,
2018,10,8,81.75,20.6,17.64,26.29,26.71,6.66,,,22-10-2018,25.79,,,
2018,10,9,82,4.62,17.21,25.9,26.12,7.02,,,23-10-2018,25.97,,,
2018,10,10,74.94,0.11,16.72,27.08,27.36,9.43,,,24-10-2018,25.97,,,
2018,10,11,70.38,0.06,16.24,28.01,28.58,11.3,,,25-10-2018,25.69,,,
2018,10,12,75.5,0.06,17.21,27.58,28.37,10.58,,,26-10-2018,25.87,,,
2018,10,13,78.25,0.77,17.46,27.2,28.05,9.63,,,27-10-2018,25.96,,,
2018,10,14,80.44,10.28,17.7,26.84,27.51,9.16,,,28-10-2018,26.29,,,
2018,10,15,81.5,1.24,17.82,26.58,26.94,6.73,,,29-10-2018,27.15,,,
2018,10,16,84.19,9.09,17.58,25.75,25.87,5.82,,,30-10-2018,27.7,,,
2018,10,17,78.88,2.01,16.42,25.87,26.21,7.33,,,31-10-2018,26.53,,,
2018,10,18,79.12,1.07,16.85,26.17,26.7,7.83,,,01-11-2018,26.04,,,
2018,10,19,80.44,2.08,17.09,26.21,26.99,8.67,,,02-11-2018,25.56,,,
2018,10,20,81.06,4.32,17.21,26.12,26.73,8.35,,,03-11-2018,25.01,,,
2018,10,21,82.31,2.97,17.52,26.21,26.68,7.94,,,04-11-2018,25.6,,,
2018,10,22,83.94,3.74,17.58,25.79,26.08,5.91,,,05-11-2018,25.27,,,
2018,10,23,71.06,0.8,14.53,25.97,25.98,9.55,,,06-11-2018,25.08,,,
2018,10,24,73.12,2.33,15.14,25.97,26.33,11.03,,,07-11-2018,25.22,,,
2018,10,25,81.75,4.41,16.85,25.69,26.05,7.83,,,08-11-2018,24.3,,,
2018,10,26,77.69,0.23,16.05,25.87,26.25,9.77,,,09-11-2018,25.16,,,
2018,10,27,78.12,0.23,16.24,25.96,26.63,10.96,,,10-11-2018,25.44,,,
2018,10,28,69.5,0.03,14.28,26.29,26.67,11.97,,,11-11-2018,25.54,,,
2018,10,29,60.88,0,13,27.15,26.94,12.79,,,12-11-2018,25.69,,,
2018,10,30,60.88,0.18,13.92,27.7,27.76,12.56,,,13-11-2018,26.24,,,
2018,10,31,81.88,3.07,17.88,26.53,26.7,6.58,,,14-11-2018,26.44,,,
2018,11,1,85.75,8.59,18.25,26.04,26.4,6.25,,,15-11-2018,26.8,,,
2018,11,2,86.25,10.15,17.82,25.56,26.11,6.5,,,16-11-2018,24.5,,,
2018,11,3,89.25,22.17,17.94,25.01,25.23,5.31,,,17-11-2018,25.28,,,
2018,11,4,82.5,1.87,16.85,25.6,25.94,9.02,,,18-11-2018,25.74,,,
2018,11,5,82.44,0.21,16.6,25.27,25.4,8.72,,,19-11-2018,25.75,,,
2018,11,6,83.06,0.89,16.54,25.08,25.35,8.15,,,20-11-2018,24.42,,,
2018,11,7,78.38,0.59,15.5,25.22,25.48,8.64,,,21-11-2018,24.76,,,
2018,11,8,84.5,1.68,16.17,24.3,24.49,7.11,,,22-11-2018,24.01,,,
2018,11,9,84.56,1.31,16.97,25.16,25.44,7.1,,,23-11-2018,24.76,,,
2018,11,10,78.06,0.04,15.62,25.44,25.93,10.3,,,24-11-2018,24.73,,,
2018,11,11,73.25,0.06,14.47,25.54,25.96,11.42,,,25-11-2018,24.31,,,
2018,11,12,71.81,0.01,14.47,25.69,26.23,12.31,,,26-11-2018,23.89,,,
2018,11,13,71.31,0,14.89,26.24,26.92,12.45,,,27-11-2018,22.9,,,
2018,11,14,73.62,0,15.56,26.44,27.18,11.36,,,28-11-2018,23.9,,,
2018,11,15,73.94,8.86,15.69,26.8,27.26,13.19,,,29-11-2018,24.51,,,
2018,11,16,92.19,48.82,18.13,24.5,24.3,5.16,,,30-11-2018,24.89,,,
2018,11,17,84.44,0.06,17.09,25.28,25.55,8.66,,,01-12-2018,24.32,,,
2018,11,18,85,1.58,17.7,25.74,26.13,7.05,,,02-12-2018,23.95,,,
2018,11,19,85.12,4.26,17.64,25.75,26.22,7.94,,,03-12-2018,24.8,,,
2018,11,20,87.81,3.45,17.03,24.42,24.3,5.06,,,04-12-2018,25.22,,,
